   PID    TID %CPU     TIME NLWP  C
 41991  44492  0.0 00:00:00 1072  0
 41991  44493  0.0 00:00:00 1072  0
 41991  44494  0.0 00:00:00 1072  0
 41991  44495  0.0 00:00:00 1072  0
 41991  44496  0.0 00:00:00 1072  0
 41991  44497  0.0 00:00:00 1072  0
 41991  44498  0.0 00:00:00 1072  0
 41991  44499  0.0 00:00:00 1072  0
 41991  44500  0.0 00:00:00 1072  0
 41991  44501  0.0 00:00:00 1072  0
 41991  44502  0.0 00:00:00 1072  0
 41991  44503  0.0 00:00:00 1072  0
 41991  44504  0.0 00:00:00 1072  0
 41991  44505  0.0 00:00:00 1072  0
 41991  44506  0.0 00:00:00 1072  0
 41991  44507  0.0 00:00:00 1072  0
 41991  44508  0.0 00:00:00 1072  0
 41991  44509  0.0 00:00:00 1072  0
 41991  44510  0.0 00:00:00 1072  0
 41991  44511  0.0 00:00:00 1072  0
 41991  44512  0.0 00:00:00 1072  0
 41991  44513  0.0 00:00:00 1072  0
 41991  44514  0.0 00:00:00 1072  0
 41991  44515  0.0 00:00:00 1072  0
 41991  44516  12.34 00:00:00 1072  0
 41991  44517  0.0 00:00:00 1072  0
 41991  44518  0.0 00:00:00 1072  0
 41991  44519  0.0 00:00:00 1072  0
 41991  44520  0.0 00:00:00 1072  0
 41991  44521  0.0 00:00:00 1072  0
 41991  44522  0.0 00:00:00 1072  0
 41991  44523  0.0 00:00:00 1072  0
 41991  44524  0.0 00:00:00 1072  0
 41991  44525  0.0 00:00:00 1072  0
 41991  44526  0.0 00:00:00 1072  0
 41991  44527  0.0 00:00:00 1072  0
 41991  44528  0.0 00:00:00 1072  0
 41991  44529  0.0 00:00:00 1072  0
 41991  44530  0.0 00:00:00 1072  0
 41991  44531  0.0 00:00:00 1072  0
 41991  44532  0.0 00:00:00 1072  0
 41991  44533  0.0 00:00:00 1072  0
 41991  44534  0.0 00:00:00 1072  0
 41991  44535  0.0 00:00:00 1072  0
 41991  44536  0.0 00:00:01 1072  0
 41991  44537  0.0 00:00:01 1072  0
 41991  44538  0.0 00:00:00 1072  0
 41991  44539  0.0 00:00:00 1072  0
 41991  44540  0.0 00:00:01 1072  0
 41991  44541  0.0 00:00:00 1072  0
 41991  44542  0.0 00:00:00 1072  0
 41991  44543  0.0 00:00:00 1072  0
 41991  44544  0.0 00:00:01 1072  0
 41991  44545  0.0 00:00:00 1072  0
 41991  44546  0.0 00:00:00 1072  0
 41991  44547  0.0 00:00:00 1072  0
 41991  44548  0.0 00:00:00 1072  0
 41991  44549  0.0 00:00:00 1072  0
 41991  44550  0.0 00:00:00 1072  0
 41991  44551  0.0 00:00:00 1072  0
 41991  44552  0.0 00:00:00 1072  0
 41991  44553  0.0 00:00:00 1072  0
 41991  44554  0.0 00:00:00 1072  0
 41991  44555  0.0 00:00:00 1072  0
 41991  44556  0.0 00:00:00 1072  0
 41991  44557  0.0 00:00:00 1072  0
 41991  44558  0.0 00:00:00 1072  0
 41991  44559  0.0 00:00:00 1072  0
 41991  44560  0.0 00:00:00 1072  0
 41991  44561  0.0 00:00:00 1072  0
 41991  44562  0.0 00:00:00 1072  0
 41991  44563  0.0 00:00:00 1072  0
 41991  44564  0.0 00:00:00 1072  0
 41991  44565  0.0 00:00:00 1072  0
 41991  44566  0.0 00:00:00 1072  0
 41991  44567  0.0 00:00:00 1072  0
 41991  44568  0.0 00:00:00 1072  0
 41991  44569  0.0 00:00:00 1072  0
 41991  44570  0.0 00:00:00 1072  0
 41991  44571  0.0 00:00:00 1072  0
 41991  44572  0.0 00:00:00 1072  0
 41991  44573  0.0 00:00:00 1072  0
 41991  44574  0.0 00:00:00 1072  0
 41991  44575  0.0 00:00:00 1072  0
 41991  44576  0.0 00:00:00 1072  0
 41991  44577  0.0 00:00:00 1072  0
 41991  44578  0.0 00:00:00 1072  0
 41991  44579  0.0 00:00:00 1072  0
 41991  44580  0.0 00:00:00 1072  0
 41991  44581  0.0 00:00:00 1072  0
 41991  44582  0.0 00:00:00 1072  0
 41991  44583  0.0 00:00:00 1072  0
 41991  44584  0.0 00:00:00 1072  0
 41991  44585  0.0 00:00:00 1072  0
 41991  44586  0.0 00:00:00 1072  0
 41991  44587  0.0 00:00:00 1072  0
 41991  44588  0.0 00:00:00 1072  0
 41991  44589  0.0 00:00:00 1072  0
 41991  44590  0.0 00:00:00 1072  0
 41991  44591  0.0 00:00:01 1072  0
 41991  44592  0.0 00:00:01 1072  0
 41991  44593  0.0 00:00:00 1072  0
